pr_number,pr_title,pr_url,state,created_at,updated_at,closed_at,merged_at,merged,additions,deletions,changed_files,author_login,labels,review_count_reported
48673,fix(deps): replace catalog reference with pinned version,https://github.com/PostHog/posthog/pull/48673,MERGED,2026-02-21T21:46:46Z,2026-02-24T23:14:14Z,2026-02-24T23:14:12Z,2026-02-24T23:14:12Z,True,1,1,1,mendral-app,,1
48658,chore: Upgrade GitHub Actions for Node 24 compatibility,https://github.com/PostHog/posthog/pull/48658,OPEN,2026-02-21T09:12:46Z,2026-02-24T23:13:49Z,,,False,110,83,30,salmanmkc,,2
48977,fix(test): update expected category after AI Analytics → AI engineering rename,https://github.com/PostHog/posthog/pull/48977,OPEN,2026-02-24T20:20:37Z,2026-02-24T23:11:38Z,,,False,1,1,1,mendral-app,,1
48795,refactor(signals): Extract signal sources logic into dedicated Kea logic,https://github.com/PostHog/posthog/pull/48795,OPEN,2026-02-23T17:41:18Z,2026-02-24T23:10:10Z,,,False,362,159,8,Twixes,,1
48761,fix: error outside of recording,https://github.com/PostHog/posthog/pull/48761,MERGED,2026-02-23T15:24:05Z,2026-02-24T23:08:11Z,2026-02-24T23:08:09Z,2026-02-24T23:08:09Z,True,53,12,2,ablaszkiewicz,,7
48903,test(signals): Add tests for initial session analysis kickoff,https://github.com/PostHog/posthog/pull/48903,OPEN,2026-02-24T12:56:51Z,2026-02-24T23:06:18Z,,,False,64,0,1,Twixes,,3
48954,chore(flags): give tokio 25% available cores,https://github.com/PostHog/posthog/pull/48954,CLOSED,2026-02-24T18:08:05Z,2026-02-24T23:03:39Z,2026-02-24T23:03:39Z,,False,41,30,1,matheus-vb,,1
48994,fix: show only lost features on downgrade,https://github.com/PostHog/posthog/pull/48994,OPEN,2026-02-24T22:45:09Z,2026-02-24T22:53:58Z,,,False,9,17,2,a-lider,,0
48659,Upgrade GitHub Actions to latest versions,https://github.com/PostHog/posthog/pull/48659,CLOSED,2026-02-21T09:13:16Z,2026-02-24T22:45:34Z,2026-02-24T22:45:34Z,,False,50,50,25,salmanmkc,,2
48420,feat(session-replay): temporal deletion workflows and admin UI,https://github.com/PostHog/posthog/pull/48420,OPEN,2026-02-19T09:46:04Z,2026-02-24T22:45:21Z,,,False,3781,5063,86,TueHaulund,,6
48773,fix: enforce access control for revenue analytics config on backend,https://github.com/PostHog/posthog/pull/48773,OPEN,2026-02-23T16:11:34Z,2026-02-24T22:39:52Z,,,False,41,16,4,ReeceJones,,3
48916,fix(endpoints): CLI pushing and saving to YAML,https://github.com/PostHog/posthog/pull/48916,MERGED,2026-02-24T14:18:23Z,2026-02-24T22:39:49Z,2026-02-24T22:39:47Z,2026-02-24T22:39:47Z,True,56,10,6,sakce,,3
48887,fix(ci): Restrict ci-storybook to run on fewer paths,https://github.com/PostHog/posthog/pull/48887,OPEN,2026-02-24T11:24:08Z,2026-02-24T22:39:26Z,,,False,2,3,1,gantoine,,1
48846,chore(surveys): delete survey_templates page,https://github.com/PostHog/posthog/pull/48846,OPEN,2026-02-23T23:06:26Z,2026-02-24T22:38:53Z,,,False,4,108,12,adboio,,1
48981,chore: remove instrumentation for onboarding experiment,https://github.com/PostHog/posthog/pull/48981,OPEN,2026-02-24T20:44:12Z,2026-02-24T22:38:15Z,,,False,29,53,2,fercgomes,,2
48959,fix(ui): Add snap-to-default option to ResizableElement,https://github.com/PostHog/posthog/pull/48959,OPEN,2026-02-24T18:51:35Z,2026-02-24T22:37:32Z,,,False,23,6,1,Twixes,,2
48494,fix(hooks): remove manual deps from useFileSystemLogView,https://github.com/PostHog/posthog/pull/48494,OPEN,2026-02-19T17:39:15Z,2026-02-24T22:28:43Z,,,False,5,21,13,pauldambra,,3
48493,fix(hooks): use DOM API instead of insertAdjacentHTML in useThemedHtml,https://github.com/PostHog/posthog/pull/48493,OPEN,2026-02-19T17:39:13Z,2026-02-24T22:28:14Z,,,False,4,1,1,pauldambra,,2
48492,fix(hooks): use ref pattern for stable callback in useAsyncHandler,https://github.com/PostHog/posthog/pull/48492,OPEN,2026-02-19T17:39:11Z,2026-02-24T22:28:08Z,,,False,18,17,1,pauldambra,,2
48951,chore(test): failing ts error [TEST],https://github.com/PostHog/posthog/pull/48951,CLOSED,2026-02-24T18:05:29Z,2026-02-24T22:23:48Z,2026-02-24T22:23:48Z,,False,1,1,1,gantoine,,1
48522,feat(messaging): process all cohorts in single coordinator workflow,https://github.com/PostHog/posthog/pull/48522,OPEN,2026-02-19T21:12:27Z,2026-02-24T22:16:48Z,,,False,166,139,5,gustavohstrassburger,,2
47859,feat(mcp): add YAML-driven tool generation for MCP handlers,https://github.com/PostHog/posthog/pull/47859,OPEN,2026-02-13T11:02:23Z,2026-02-24T22:15:39Z,,,False,5270,37,21,webjunkie,,8
48895,fix(ci): pass app token to checkout so OpenAPI push triggers CI,https://github.com/PostHog/posthog/pull/48895,MERGED,2026-02-24T12:15:15Z,2026-02-24T22:14:36Z,2026-02-24T22:14:34Z,2026-02-24T22:14:34Z,True,16,11,1,webjunkie,,3
48491,fix(hooks): fix stale closure in useLocalStorage setValue,https://github.com/PostHog/posthog/pull/48491,MERGED,2026-02-19T17:39:09Z,2026-02-24T22:14:02Z,2026-02-24T22:14:00Z,2026-02-24T22:13:59Z,True,9,5,1,pauldambra,,3
47485,feat(visual_review): add visual review product,https://github.com/PostHog/posthog/pull/47485,OPEN,2026-02-10T15:20:10Z,2026-02-24T22:07:54Z,,,False,8707,20,80,webjunkie,hobby-preview,2
48963,fix(flags): Validate value on date operator switch instead of clearing,https://github.com/PostHog/posthog/pull/48963,OPEN,2026-02-24T19:18:50Z,2026-02-24T22:06:17Z,,,False,2,5,1,charlescook-ph,,2
48474,perf: cache `build:products` codegen output,https://github.com/PostHog/posthog/pull/48474,OPEN,2026-02-19T16:26:30Z,2026-02-24T22:05:53Z,,,False,39,2,1,rnegron,,1
48984,fix(sig): make llma eval emitting a dedicated workflow,https://github.com/PostHog/posthog/pull/48984,OPEN,2026-02-24T21:27:35Z,2026-02-24T22:05:42Z,,,False,142,103,6,oliverb123,,2
48519,feat(hogql): add traffic type classification functions preview,https://github.com/PostHog/posthog/pull/48519,OPEN,2026-02-19T20:45:07Z,2026-02-24T22:04:13Z,,,False,1291,1,11,lricoy,,7
48987,chore: regenerate OpenAPI types after event_definitions product move,https://github.com/PostHog/posthog/pull/48987,MERGED,2026-02-24T21:34:41Z,2026-02-24T22:00:51Z,2026-02-24T22:00:49Z,2026-02-24T22:00:49Z,True,1,1,1,mendral-app,,1
48990,"feat(replay): add Temporal deletion workflows, admin UI, and person deletion",https://github.com/PostHog/posthog/pull/48990,OPEN,2026-02-24T21:42:30Z,2026-02-24T22:00:50Z,,,False,2517,2191,20,TueHaulund,,0
48989,refactor(replay): recording-api delete redesign and storage client relocation,https://github.com/PostHog/posthog/pull/48989,OPEN,2026-02-24T21:40:37Z,2026-02-24T21:59:47Z,,,False,1238,2867,61,TueHaulund,,0
48864,fix(experiments): fix exposure criterial modal on create experiment form.,https://github.com/PostHog/posthog/pull/48864,OPEN,2026-02-24T04:35:04Z,2026-02-24T21:58:44Z,,,False,93,31,9,rodrigoi,,2
48988,feat(replay): add deleted_by to recording deleted UX,https://github.com/PostHog/posthog/pull/48988,OPEN,2026-02-24T21:40:21Z,2026-02-24T21:54:53Z,,,False,28,7,7,TueHaulund,,0
48983,fix(vercel): reject 404 responses from billing deauthorize endpoint,https://github.com/PostHog/posthog/pull/48983,OPEN,2026-02-24T21:11:50Z,2026-02-24T21:45:51Z,,,False,24,4,3,MattBro,,1
48986,"feat(signals): add ""Ingest signals from JSON"" to Team Django admin",https://github.com/PostHog/posthog/pull/48986,OPEN,2026-02-24T21:30:27Z,2026-02-24T21:44:48Z,,,False,182,55,6,Twixes,,2
48936,Add table of SCIM provisioned users to Django user page,https://github.com/PostHog/posthog/pull/48936,OPEN,2026-02-24T16:40:05Z,2026-02-24T21:36:38Z,,,False,36,1,2,a-lider,,2
48677,feat(dashboards): add compact card header behind tile redesign flag,https://github.com/PostHog/posthog/pull/48677,OPEN,2026-02-22T09:29:15Z,2026-02-24T21:30:52Z,,,False,419,99,21,sampennington,,6
48689,feat: Display line breaks in error tracking,https://github.com/PostHog/posthog/pull/48689,MERGED,2026-02-22T20:57:12Z,2026-02-24T21:30:01Z,2026-02-24T21:29:59Z,2026-02-24T21:29:59Z,True,28,9,19,rafaeelaudibert,,7
48651,feat(ff): feature flags uses personhog for person data access,https://github.com/PostHog/posthog/pull/48651,OPEN,2026-02-21T00:48:39Z,2026-02-24T21:26:37Z,,,False,1285,16,18,nickbest-ph,,4
48411,fix: superprops in typegen,https://github.com/PostHog/posthog/pull/48411,OPEN,2026-02-19T08:27:59Z,2026-02-24T21:20:16Z,,,False,206,22,18,aspicer,,2
48690,feat(Insights): Add improved X-axis tick formatting for line graphs,https://github.com/PostHog/posthog/pull/48690,OPEN,2026-02-22T21:57:38Z,2026-02-24T21:18:45Z,,,False,406,2,6,sampennington,,0
48679,feat(dashboards): Make dashboard editing easier,https://github.com/PostHog/posthog/pull/48679,OPEN,2026-02-22T09:37:47Z,2026-02-24T21:18:43Z,,,False,272,17,13,sampennington,,0
48980,fix(llma): reduce sentiment query workload with per-trace window function,https://github.com/PostHog/posthog/pull/48980,OPEN,2026-02-24T20:41:59Z,2026-02-24T21:18:02Z,,,False,120,31,5,andrewm4894,team/llm-analytics,7
48982,chore(deps): Update posthog-js to 1.353.1,https://github.com/PostHog/posthog/pull/48982,OPEN,2026-02-24T21:11:27Z,2026-02-24T21:15:40Z,,,False,19,19,2,posthog-js-upgrader,,0
48838,feat: add oauth.posthog.com cross-region OAuth proxy,https://github.com/PostHog/posthog/pull/48838,OPEN,2026-02-23T22:37:44Z,2026-02-24T21:14:05Z,,,False,1489,4,25,MattBro,,4
48967,"feat(llma): add recommended models, expand/collapse, and disabled key states to BYOK picker",https://github.com/PostHog/posthog/pull/48967,OPEN,2026-02-24T19:35:24Z,2026-02-24T21:08:27Z,,,False,762,346,17,richardsolomou,,1
48653,feat(flags): Add V2 readonly overview tab for feature flags,https://github.com/PostHog/posthog/pull/48653,MERGED,2026-02-21T01:13:46Z,2026-02-24T20:58:32Z,2026-02-24T20:58:31Z,2026-02-24T20:58:31Z,True,784,9,20,dmarticus,,2
48516,fix(cohorts): add autoretry for ClickHouse errors to prevent stuck cohorts,https://github.com/PostHog/posthog/pull/48516,OPEN,2026-02-19T20:14:51Z,2026-02-24T20:58:00Z,,,False,16,1,1,gustavohstrassburger,,3
48857,fix: Onboarding plans step redirection,https://github.com/PostHog/posthog/pull/48857,OPEN,2026-02-24T02:40:40Z,2026-02-24T20:57:00Z,,,False,47,33,3,rafaeelaudibert,,3
48979,Logs list viewport virtualization,https://github.com/PostHog/posthog/pull/48979,OPEN,2026-02-24T20:41:30Z,2026-02-24T20:53:32Z,,,False,350,100,6,Twixes,,0
48579,feat: alerts wizard,https://github.com/PostHog/posthog/pull/48579,OPEN,2026-02-20T12:10:30Z,2026-02-24T20:53:00Z,,,False,1092,29,14,ablaszkiewicz,,3
48938,"feat(pipelines): Added a ""Pull new schemas"" button so users can fetch new schemas without waiting for a new sync",https://github.com/PostHog/posthog/pull/48938,OPEN,2026-02-24T16:49:43Z,2026-02-24T20:47:37Z,,,False,245,6,10,danielcarletti,,4
47678,feat: slack channel for support,https://github.com/PostHog/posthog/pull/47678,OPEN,2026-02-12T08:05:31Z,2026-02-24T20:46:41Z,,,False,3437,20,38,veryayskiy,,27
48973,feat(flags): implement virtualization for LemonInputSelect to prevent OOM,https://github.com/PostHog/posthog/pull/48973,OPEN,2026-02-24T19:58:27Z,2026-02-24T20:52:54Z,,,False,2226,1427,15,gustavohstrassburger,,1
48976,fix(test): update expected category 'AI Analytics' → 'AI engineering',https://github.com/PostHog/posthog/pull/48976,OPEN,2026-02-24T20:17:46Z,2026-02-24T20:38:44Z,,,False,408,312,5,mendral-app,,0
48975,chore(llma): Update LLM costs,https://github.com/PostHog/posthog/pull/48975,MERGED,2026-02-24T20:06:38Z,2026-02-24T20:23:00Z,2026-02-24T20:22:59Z,2026-02-24T20:22:59Z,True,74,28,2,scheduled-actions-posthog,automated|llm-analytics,2
48817,chore: move event definitions tables to a product,https://github.com/PostHog/posthog/pull/48817,MERGED,2026-02-23T20:12:17Z,2026-02-24T20:17:52Z,2026-02-24T20:17:50Z,2026-02-24T20:17:50Z,True,1348,403,88,aspicer,,6
48972,chore(flags): assign flags platform routes to team-flags-platform,https://github.com/PostHog/posthog/pull/48972,MERGED,2026-02-24T19:54:19Z,2026-02-24T20:11:36Z,2026-02-24T20:11:35Z,2026-02-24T20:11:35Z,True,12,13,1,haacked,,3
48952,fix(toolbar): dropdown menu styling,https://github.com/PostHog/posthog/pull/48952,MERGED,2026-02-24T18:05:41Z,2026-02-24T20:08:16Z,2026-02-24T20:08:16Z,2026-02-24T20:08:16Z,True,29,19,6,fercgomes,,2
48806,fix(hogvm): add sortableSemver to bytecode STL,https://github.com/PostHog/posthog/pull/48806,OPEN,2026-02-23T18:32:25Z,2026-02-24T20:20:25Z,,,False,134,1,9,dmarticus,,6
48623,feat: add context aware rate limiting to the event/values API,https://github.com/PostHog/posthog/pull/48623,OPEN,2026-02-20T17:25:56Z,2026-02-24T20:05:47Z,,,False,30,1,2,pauldambra,,7
48215,feat(phai): create MCP store,https://github.com/PostHog/posthog/pull/48215,OPEN,2026-02-17T17:34:53Z,2026-02-24T20:00:57Z,,,False,3462,18,42,cvolzer3,,19
48800,fix: add visual separator between standard and semver operators,https://github.com/PostHog/posthog/pull/48800,MERGED,2026-02-23T18:09:51Z,2026-02-24T19:58:00Z,2026-02-24T19:57:58Z,2026-02-24T19:57:58Z,True,36,6,1,dmarticus,,2
48844,fix: the swapped in query behaviour is not needed now we have suggested filters,https://github.com/PostHog/posthog/pull/48844,OPEN,2026-02-23T22:49:53Z,2026-02-24T19:49:28Z,,,False,73,195,17,pauldambra,,2
48964,fix(llma): use existing provider when validating API key on edit,https://github.com/PostHog/posthog/pull/48964,MERGED,2026-02-24T19:27:37Z,2026-02-24T19:48:14Z,2026-02-24T19:48:13Z,2026-02-24T19:48:13Z,True,24,1,2,richardsolomou,,2
48583,fix: switch chartjs-plugin-stacked100 to npm registry,https://github.com/PostHog/posthog/pull/48583,MERGED,2026-02-20T12:43:52Z,2026-02-24T19:47:56Z,2026-02-24T19:47:54Z,2026-02-24T19:47:54Z,True,7,7,3,pauldambra,,4
48965,fix(llma): always show validate button for provider keys,https://github.com/PostHog/posthog/pull/48965,MERGED,2026-02-24T19:27:47Z,2026-02-24T19:47:54Z,2026-02-24T19:47:53Z,2026-02-24T19:47:53Z,True,13,15,1,richardsolomou,,1
48214,feat: implement point-in-time person properties reconstruction,https://github.com/PostHog/posthog/pull/48214,OPEN,2026-02-17T17:28:47Z,2026-02-24T19:47:33Z,,,False,1000,3,7,gustavohstrassburger,,7
48760,fix(insight-ai): use underscore in ai_product property value,https://github.com/PostHog/posthog/pull/48760,MERGED,2026-02-23T15:19:42Z,2026-02-24T19:47:09Z,2026-02-24T19:47:08Z,2026-02-24T19:47:08Z,True,2,2,1,annikaschmid,,1
48958,fix(session-replay): prevent clock divergence during skip inactivity,https://github.com/PostHog/posthog/pull/48958,MERGED,2026-02-24T18:36:29Z,2026-02-24T19:46:41Z,2026-02-24T19:46:39Z,2026-02-24T19:46:39Z,True,10,5,1,TueHaulund,,2
48210,feat(batch-import-worker): support capture sink,https://github.com/PostHog/posthog/pull/48210,MERGED,2026-02-17T16:55:10Z,2026-02-24T19:43:59Z,2026-02-24T19:43:56Z,2026-02-24T19:43:56Z,True,556,40,8,z0br0wn,,11
46589,fix(flags): simplify readiness probe to prevent cascade failures,https://github.com/PostHog/posthog/pull/46589,OPEN,2026-02-02T21:13:05Z,2026-02-24T19:39:37Z,,,False,7,44,2,haacked,,17
48966,feat(capture): simplify global rate limit response msg,https://github.com/PostHog/posthog/pull/48966,MERGED,2026-02-24T19:28:49Z,2026-02-24T19:39:09Z,2026-02-24T19:39:07Z,2026-02-24T19:39:07Z,True,18,48,4,eli-r-ph,,1
48904,feat(llma): add provider icons to model picker and settings,https://github.com/PostHog/posthog/pull/48904,OPEN,2026-02-24T12:57:32Z,2026-02-24T19:35:44Z,,,False,153,25,10,richardsolomou,,2
48878,feat(llma): improve model ordering and consolidate BYOK picker,https://github.com/PostHog/posthog/pull/48878,OPEN,2026-02-24T10:06:54Z,2026-02-24T19:35:42Z,,,False,980,391,15,richardsolomou,,2
48734,feat(llma): upgrade playground model picker with BYOK support and search,https://github.com/PostHog/posthog/pull/48734,OPEN,2026-02-23T13:10:11Z,2026-02-24T19:35:40Z,,,False,362,59,4,richardsolomou,,3
46857,feat: poc the personhog-merger in rust,https://github.com/PostHog/posthog/pull/46857,OPEN,2026-02-04T16:00:08Z,2026-02-24T19:35:00Z,,,False,12190,6889,18,pl,waiting,3
48953,fix(flags): ensure zrem expiry cleanup always runs in HyperCache.clear_cache,https://github.com/PostHog/posthog/pull/48953,MERGED,2026-02-24T18:07:31Z,2026-02-24T19:29:46Z,2026-02-24T19:29:45Z,2026-02-24T19:29:45Z,True,146,37,5,haacked,,3
47706,chore(llm-analytics): rename AI Analytics to AI engineering and update icons,https://github.com/PostHog/posthog/pull/47706,MERGED,2026-02-12T13:12:19Z,2026-02-24T19:28:35Z,2026-02-24T19:28:33Z,2026-02-24T19:28:33Z,True,24,20,7,andrewm4894,team/llm-analytics,3
48962,fix(funnels): allow actors modal to display sessions when aggregating…,https://github.com/PostHog/posthog/pull/48962,OPEN,2026-02-24T19:06:25Z,2026-02-24T19:18:47Z,,,False,93,3,4,camerondeleone,,1
48924,feat(groups): Reorder group list columns,https://github.com/PostHog/posthog/pull/48924,OPEN,2026-02-24T15:33:30Z,2026-02-24T19:13:49Z,,,False,283,286,10,arthurdedeus,,4
48957,fix: ensure common event definitions exist in generate_demo_data,https://github.com/PostHog/posthog/pull/48957,MERGED,2026-02-24T18:35:12Z,2026-02-24T19:13:28Z,2026-02-24T19:13:26Z,2026-02-24T19:13:26Z,True,5,0,1,MattBro,,1
48939,chore(experiments): Parametrize mean tests for precomputation,https://github.com/PostHog/posthog/pull/48939,OPEN,2026-02-24T16:57:04Z,2026-02-24T19:12:56Z,,,False,1612,133,5,jurajmajerik,,0
48871,fix(auth): match session user identity during reauth check,https://github.com/PostHog/posthog/pull/48871,MERGED,2026-02-24T08:59:29Z,2026-02-24T19:12:04Z,2026-02-24T19:12:02Z,2026-02-24T19:12:02Z,True,42,1,2,yasen-posthog,,3
48961,feat(workflows): metrics viz revamp ,https://github.com/PostHog/posthog/pull/48961,OPEN,2026-02-24T19:04:18Z,2026-02-24T19:08:30Z,,,False,594,124,12,havenbarnes,,0
48811,chore(session-replay): record session step,https://github.com/PostHog/posthog/pull/48811,OPEN,2026-02-23T19:25:23Z,2026-02-24T19:06:40Z,,,False,845,442,12,z0br0wn,,2
48807,fix(flags): Clear property value when switching to a date operator,https://github.com/PostHog/posthog/pull/48807,MERGED,2026-02-23T18:37:38Z,2026-02-24T19:02:20Z,2026-02-24T19:02:17Z,2026-02-24T19:02:17Z,True,7,0,1,charlescook-ph,,2
48902,Llm gateway personal API key,https://github.com/PostHog/posthog/pull/48902,OPEN,2026-02-24T12:52:26Z,2026-02-24T18:49:27Z,,,False,80,26,3,joshsny,,0
48858,feat: adding cost per reported conversion,https://github.com/PostHog/posthog/pull/48858,OPEN,2026-02-24T02:41:53Z,2026-02-24T18:43:45Z,,,False,173,16,12,jabahamondes,,0
47731,feat(pinterest-ads): implement Pinterest Ads data pipeline,https://github.com/PostHog/posthog/pull/47731,OPEN,2026-02-12T14:56:05Z,2026-02-24T18:40:48Z,,,False,1046,10,14,jabahamondes,,6
48948,fix(workflows): fix logic caching issue and cleanup logic binding in workflow scene,https://github.com/PostHog/posthog/pull/48948,OPEN,2026-02-24T17:50:31Z,2026-02-24T18:34:04Z,,,False,52,52,8,havenbarnes,,1
48834,fix(ci): ensure event definitions exist for MCP integration tests,https://github.com/PostHog/posthog/pull/48834,MERGED,2026-02-23T22:18:15Z,2026-02-24T18:33:47Z,2026-02-24T18:33:45Z,2026-02-24T18:33:45Z,True,4,0,1,MattBro,,1
48839,refactor(ducklake): use DuckgresServer and simplify duckgres workflows,https://github.com/PostHog/posthog/pull/48839,OPEN,2026-02-23T22:40:19Z,2026-02-24T18:31:16Z,,,False,625,640,5,EDsCODE,,0
48802,feat(llma): add hypercache for llm prompt name lookups,https://github.com/PostHog/posthog/pull/48802,MERGED,2026-02-23T18:15:21Z,2026-02-24T18:28:39Z,2026-02-24T18:28:38Z,2026-02-24T18:28:38Z,True,385,11,6,Radu-Raicea,,2
48949,feat(ducklake): add DuckgresServer model for per-team duckgres credentials,https://github.com/PostHog/posthog/pull/48949,OPEN,2026-02-24T17:59:07Z,2026-02-24T18:28:30Z,,,False,141,3,9,EDsCODE,,0
48943,refactor: validate uuid at kafka message parsing step,https://github.com/PostHog/posthog/pull/48943,OPEN,2026-02-24T17:18:34Z,2026-02-24T18:24:27Z,,,False,77,242,6,lmenezes,,3
48419,feat(alerts): add PostHog AI tool for creating alerts,https://github.com/PostHog/posthog/pull/48419,OPEN,2026-02-19T09:39:49Z,2026-02-24T18:21:49Z,,,False,1125,7,15,vdekrijger,,5
48950,"fix: Replace ""project API key"" with ""project token"" in documentation",https://github.com/PostHog/posthog/pull/48950,MERGED,2026-02-24T18:00:35Z,2026-02-24T18:19:01Z,2026-02-24T18:18:59Z,2026-02-24T18:18:59Z,True,6,6,6,rafaeelaudibert,,1
48796,fix(llma): use native output_config for Anthropic structured output,https://github.com/PostHog/posthog/pull/48796,MERGED,2026-02-23T17:43:00Z,2026-02-24T18:15:01Z,2026-02-24T18:13:25Z,2026-02-24T18:13:25Z,True,261,33,2,andrewm4894,team/llm-analytics,3
47766,feat(customer-analytics): Add flow visualization to funnel insights in Customer Journeys,https://github.com/PostHog/posthog/pull/47766,MERGED,2026-02-12T18:10:23Z,2026-02-24T18:11:53Z,2026-02-24T18:11:26Z,2026-02-24T18:11:26Z,True,479,12,16,arthurdedeus,,3
48955,Scim endpoint pagination,https://github.com/PostHog/posthog/pull/48955,OPEN,2026-02-24T18:10:53Z,2026-02-24T18:10:55Z,,,False,222,25,4,a-lider,,0
48853,feat(capture): implement global rate limiter checks for records mode too,https://github.com/PostHog/posthog/pull/48853,MERGED,2026-02-24T00:50:42Z,2026-02-24T18:09:39Z,2026-02-24T18:09:35Z,2026-02-24T18:09:35Z,True,250,14,7,eli-r-ph,,5
48913,fix(toolbar): main app bundle bugfix,https://github.com/PostHog/posthog/pull/48913,MERGED,2026-02-24T14:06:02Z,2026-02-24T18:08:23Z,2026-02-24T18:07:41Z,2026-02-24T18:07:41Z,True,535,83,13,fercgomes,,2
47638,feat(cdp): add Klime destination template,https://github.com/PostHog/posthog/pull/47638,OPEN,2026-02-11T16:48:32Z,2026-02-24T18:02:58Z,,,False,375,0,4,beatlevic,stale,2
48944,fix: remove local-only evaluation for query cache migration flag,https://github.com/PostHog/posthog/pull/48944,OPEN,2026-02-24T17:23:10Z,2026-02-24T17:58:41Z,,,False,0,1,1,andyzzhao,,0
47918,test(batch-exports): add frontend tests for batch exports,https://github.com/PostHog/posthog/pull/47918,OPEN,2026-02-13T17:26:26Z,2026-02-24T17:58:27Z,,,False,623,0,8,rossgray,,1
48945,fix(hogql): wrap top-level CTE queries for ClickHouse distributed execution,https://github.com/PostHog/posthog/pull/48945,OPEN,2026-02-24T17:37:51Z,2026-02-24T17:55:34Z,,,False,13302,13029,16,georgemunyoro,,1
47557,fix(workflows): Use node->django calls for batching workflows persons,https://github.com/PostHog/posthog/pull/47557,MERGED,2026-02-11T00:25:29Z,2026-02-24T17:55:07Z,2026-02-24T17:55:05Z,2026-02-24T17:55:05Z,True,758,2003,19,havenbarnes,,8
48946,feat: double-produce ai events with large properties,https://github.com/PostHog/posthog/pull/48946,OPEN,2026-02-24T17:41:59Z,2026-02-24T17:50:46Z,,,False,887,488,21,pl,,0
48906,chore: Refactor CDP API,https://github.com/PostHog/posthog/pull/48906,OPEN,2026-02-24T13:07:55Z,2026-02-24T17:47:37Z,,,False,425,336,2,benjackwhite,,2
48941,feat: Skip `last_seen_at` updates with `$update_last_seen_at` property,https://github.com/PostHog/posthog/pull/48941,OPEN,2026-02-24T17:08:03Z,2026-02-24T17:45:57Z,,,False,67,3,4,luke-belton,,0
48940,feat(dwh): nullable incremental field warning,https://github.com/PostHog/posthog/pull/48940,OPEN,2026-02-24T16:58:40Z,2026-02-24T17:45:45Z,,,False,81,54,7,MarconLP,,0
